Case_ID,Sale ,list,bedrooms,bathrooms,lotwidth,lotlength,maxsqfoot,taxes,location
323,1725000,1695000,5,4,55,187.18,3500,7527,X
324,1965000,2099000,5,5,50,164.83,3500,5634,X
325,1420000,1399800,5,4,81.88,134.45,3500,8202,X
327,1750000,1869000,5,4,75.2,206.7,3500,9729,X
328,2100000,2199000,6,5,109.18,235.01,5000,11026,X
330,900000,939000,3,3,50,125,2500,6048,X
332,1596000,1649800,4,4,52.67,134.95,1500,9659,X
334,1200000,1274900,6,4,50.07,125,3000,6275,X
335,1025000,1025000,5,4,40.23,97.78,3000,5760,X
337,1230000,1248800,5,4,50,150.36,3000,6339,X
338,935000,969000,4,4,55.41,147.15,2500,6106,X
340,1298000,1388000,5,3,68.18,111.67,5000,7956,X
